Date : 2024-02-24 00:52:01
Directory : /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT
Total : 51 files,  1297 codes, 71 comments, 313 blanks, all 1681 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Security/AuthorizeAttribute.cs                                      | C#       |          8 |         12 |          5 |         25 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/DependencyInjection.cs                                                     | C#       |         20 |          0 |          6 |         26 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/MagellanGPT.Application.csproj                                             | XML      |         55 |          0 |          3 |         58 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/RAGUseCases/Commands/MemorizePDfFilesHandler.cs                            | C#       |         14 |          0 |          6 |         20 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Domain/Common/BaseEntity.cs                                                            | C#       |         21 |          0 |          9 |         30 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Domain/Common/BaseEvent.cs                                                             | C#       |          5 |          0 |          2 |          7 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Domain/GlobalUsings.cs                                                                 | C#       |          1 |          3 |          1 |          5 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Domain/MagellanGPT.Domain.csproj                                                       | XML      |         31 |          0 |          3 |         34 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/DependencyInjection.cs                                                  | C#       |         26 |          1 |          9 |         36 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/Identity/ApplicationUser.cs                                             | C#       |          5 |          0 |          4 |          9 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/Identity/IdentityResultExtensions.cs                                    | C#       |         12 |          0 |          4 |         16 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/Identity/IdentityService.cs                                             | C#       |         66 |          1 |         24 |         91 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/MagellanGPT.Infrastructure.csproj                                       | XML      |         38 |          0 |          3 |         41 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/OpenAI/OpenAIService.cs                                                 | C#       |         41 |          1 |          7 |         49 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/Persistence/ApplicationDbContext.cs                                     | C#       |         19 |          4 |          8 |         31 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/Persistence/ApplicationDbContextInitialiser.cs                          | C#       |         75 |          4 |         14 |         93 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Infrastructure/Persistence/Configurations/ConversationConfiguration.cs                 | C#       |         14 |          0 |          5 |         19 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Shared/Constants/ConfigurationConst.cs                                                 | C#       |          9 |          0 |          3 |         12 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Shared/Constants/CosmosDbConst.cs                                                      | C#       |          6 |          0 |          2 |          8 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Shared/MagellanGPT.Shared.csproj                                                       | XML      |         13 |          0 |          3 |         16 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/tests/MagellanGPT.UnitTests/ChatBotUseCases.cs                                                         | C#       |         13 |          0 |          3 |         16 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/tests/MagellanGPT.UnitTests/MagellanGPT.UnitTests.csproj                                               | XML      |         29 |          0 |          6 |         35 |
| Total                                                                                                                                                           |          |      1,297 |         71 |        313 |      1,681 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
